attributes,FirstName,LastName,Title,Email,Phone,Country__c,Company,Industry,Status,AnnualRevenue,NumberOfEmployees,Technology__c,Technology_Service__c,RevenueRange,Exists,LeadScore,LeadScoreFinal,LeadCategory
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFxEAO')])",Georgia,CALDER,CTO,georgia@gmail.com,(123) 456-7890,USA,"Director, Enterprise Architecture",Healthcare,Qualified,500000.0,75,Healthcare,Healthcare Compliance and Regulations,0 - 500k,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFyEAO')])",Gigi,CALDWELL,Finance Manager,gigi@gmail.com,(555) 555-5555,USA,"Director, Database Services & Business Intelligence",Hospitality,Unqualified,2500000.0,200,Healthcare,Healthcare Data Management,2M - 4M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFzEAO')])",Gracie,CAMERON,Financial Analyst,gracie@gmail.com,(888) 999-0000,USA,"Director, IT Information Services",Insurance,Contacted,3000000.0,300,Healthcare,Healthcare Compliance and Regulations,2M - 4M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEG0EAO')])",Guinevere,CAMPBELL,CTO,guinevere@gmail.com,(222) 222-2222,USA,"Director, HRIS",Machinery,Open,1200000.0,50,Healthcare,Healthcare Data Management,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEG1EAO')])",ritul,CARMICHAEL,Marketing Coordinator,ritul@gmail.com,(444) 444-4444,USA,"Manager, IT Commercial",Manufacturing,Qualified,800000.0,80,Healthcare,Healthcare Compliance and Regulations,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEG2EAO')])",turie,CHALMERS,CEO,turie@gmail.com,(123) 456-7890,USA,"Director, Data Warehousing & Business Intelligence",Media,Unqualified,600000.0,120,Healthcare,Healthcare Data Management,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEG3EAO')])",tunikia,CHISHOLM,Marketing Manager,tunikia@gmail.com,(987) 654-3210,USA,"Manager, IT Applications",Not For Profit,Contacted,2000000.0,250,Healthcare,Healthcare Data Management,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEG4EAO')])",Hadley,CHRISTIE,CFO,hadley@gmail.com,(555) 123-4567,USA,"Director, IT Planning",Other,Open,1500000.0,200,Healthcare,Healthcare Compliance and Regulations,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEG5EAO')])",Hallie,CLARK,Sales Manager,hallie@gmail.com,(111) 222-3333,USA,Ext Rel's & Res Comm Mgr,Recreation,Qualified,900000.0,80,IT Services,IT Consulting and Strategy,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEG6EAO')])",Harley,COCHRANE,CTO,harley@gmail.com,(333) 444-5555,USA,"Director, Financial Services Practice & Software Development",Retail,Unqualified,800000.0,120,IT Services,IT Infrastructure Management,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEG7EAO')])",Harlow,COLLINS,Data Analyst,harlow@gmail.com,(444) 555-6666,USA,"Director, Information Technology",Shipping,Contacted,700000.0,75,IT Services,IT Consulting and Strategy,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEG8EAO')])",Harper,COOK,Marketing Director,harper@gmail.com,(777) 888-9999,USA,"Vice President, Information Technology",Technology,Open,2200000.0,200,IT Services,IT Infrastructure Management,2M - 4M,No,190,62,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEG9EAO')])",Harriet,COOPER,Finance Manager,harriet@gmail.com,(222) 333-4444,USA,"Global Director, Information Technology Cyber Security",Telecommunications,Qualified,1800000.0,150,IT Services,IT Consulting and Strategy,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGAEA4')])",Hattie,COUTTS,Production Manager,hattie@gmail.com,(666) 777-8888,USA,"Manager, Connectivity",Transportation,Unqualified,950000.0,80,IT Services,IT Infrastructure Management,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGBEA4')])",Haven,COWAN,Healthcare Manager,haven@gmail.com,(555) 444-3333,USA,"Senior Director, Information Technology",Utilities,Contacted,1700000.0,220,IT Services,IT Consulting and Strategy,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGCEA4')])",Hazel,COWIE,IT Manager,hazel@gmail.com,(555) 444-3333,USA,"Associate Director, Global Credit Technology Production Services",Apparel,Open,1200000.0,100,IT Services,IT Infrastructure Management,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGDEA4')])",Heidi,CRAIG,Data Scientist,heidi@gmail.com,(666) 777-8888,USA,Head of Information Technology (Australia),Banking,Qualified,200000.0,50,IT Services,IT Consulting and Strategy,0 - 500k,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGEEA4')])",sunny,CRAWFORD,Finance Director,sunny@gmail.com,(333) 444-5555,USA,"Vice President, Global Enterprise Applications Authority",Biotechnology,Unqualified,3000000.0,300,IT Services,IT Infrastructure Management,2M - 4M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGFEA4')])",jonyy,CRUICKSHANK,Marketing Manager,jonyy@gmail.com,(111) 222-3333,USA,"Senior Director, Software Engineering & Architecture",Chemicals,Contacted,750000.0,65,IT Services,IT Consulting and Strategy,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGGEA4')])",tonny,CUMMING,Healthcare Director,tonny@gmail.com,(777) 888-9999,USA,"Director, Software & Web Applications",Communications,Open,900000.0,80,IT Services,IT Infrastructure Management,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGHEA4')])",Helena,CUNNINGHAM,Sales Manager,helena@gmail.com,(222) 333-4444,USA,"Director, IS Architecture",Construction,Qualified,550000.0,45,IT Services,IT Consulting and Strategy,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGIEA4')])",Hermione,CURRIE,Marketing Director,hermione@gmail.com,(333) 444-5555,USA,"Senior Manager, IT User Service & Support",Consulting,Unqualified,180000.0,30,IT Services,IT Infrastructure Management,0 - 500k,No,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGJEA4')])",Ida,DAVIDSON,Consultant,ida@gmail.com,(987) 654-3210,USA,"Director, Business Process Re-Engineering",Education,Contacted,1600000.0,180,IT Services,IT Consulting and Strategy,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGKEA4')])",Imogen,DAWSON,CEO,imogen@gmail.com,(123) 456-7890,USA,"Director, Infrastructure Network Operations",Electronics,Open,700000.0,50,IT Services,IT Infrastructure Management,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGLEA4')])",Indigo,DEWAR,Healthcare Manager,indigo@gmail.com,(888) 999-0000,USA,"VP, Integration Director",Energy,Qualified,750000.0,55,Manufacturing,Supply Chain Management,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGMEA4')])",Ines,DICK,CTO,ines@gmail.com,(555) 555-5555,USA,"Director, Information Technology",Engineering,Unqualified,220000.0,25,Manufacturing,Process Optimization and Automation,0 - 500k,No,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGNEA4')])",Iris,DICKSON,Marketing Coordinator,iris@gmail.com,(777) 777-7777,USA,"Director, Desktop Systems",Entertainment,Contacted,1400000.0,90,Manufacturing,Supply Chain Management,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEH1EAO')])",Magnolia,GRANT,Production Supervisor,magnolia@gmail.com,(444) 444-4444,USA,"Director, Information Technology",Manufacturing,Contacted,1000000.0,150,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEH2EAO')])",Maisie,GRAY,Marketing Manager,maisie@gmail.com,(888) 999-0000,USA,"Director, Engineering",Media,Open,500000.0,75,AI,AI Chatbots and Virtual Assistants,0 - 500k,Yes,50,4,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEH3EAO')])",Mara,GREEN,Marketing Coordinator,mara@gmail.com,(777) 777-7777,USA,"Assistant VP, Technology Operational Risk",Not For Profit,Qualified,2500000.0,200,AI,AI Chatbots and Virtual Assistants,2M - 4M,Yes,130,37,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEH4EAO')])",daliya,GREIG,CTO,daliya@gmail.com,(123) 456-7890,USA,"Director, Information Technology",Other,Unqualified,3000000.0,300,Marketing,Digital Marketing,2M - 4M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEH5EAO')])",dolyy,GRIEVE,Finance Manager,dolyy@gmail.com,(555) 555-5555,USA,"Director, Business Analytics",Recreation,Contacted,1200000.0,50,Marketing,Marketing Automation,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEH6EAO')])",jolly,GUNN,Financial Analyst,jolly@gmail.com,(888) 999-0000,USA,"Director, Information Technology",Retail,Open,800000.0,80,Marketing,Digital Marketing,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEH7EAO')])",Maren,GUTHRIE,CTO,maren@gmail.com,(222) 222-2222,USA,"Vice President, Data Conversion",Shipping,Qualified,600000.0,120,Marketing,Marketing Automation,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEH8EAO')])",Margot,HALL,Marketing Coordinator,margot@gmail.com,(444) 444-4444,USA,"Director, Patient Safety Organization",Technology,Unqualified,2000000.0,250,Marketing,Digital Marketing,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BECIEA4')])",Taylor,sneddon,Director of Vendor Relations,taylor@gmail.com,(222) 222-2222,USA,Chief Technology Security Officer (UK),Finance,Open,220000.0,25,AI,AI Chatbots and Virtual Assistants,0 - 500k,Yes,50,4,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEH9EAO')])",Marigold,HAMILTON,CEO,marigold@gmail.com,(123) 456-7890,USA,AVP Brand Marketing Specialist,Telecommunications,Contacted,1500000.0,200,Marketing,Digital Marketing,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHAEA4')])",Marleigh,HANNAH,Marketing Manager,marleigh@gmail.com,(987) 654-3210,USA,"Director, System Applications",Transportation,Open,900000.0,80,Marketing,Marketing Automation,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHBEA4')])",Matilda,HARDIE,CFO,matilda@gmail.com,(555) 123-4567,USA,Customer Research,Utilities,Qualified,800000.0,120,Marketing,Digital Marketing,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHCEA4')])",Maya,HARPER,Sales Manager,maya@gmail.com,(111) 222-3333,USA,"Director, Information Systems Operations",Apparel,Unqualified,700000.0,75,Financial,Financial Planning and Analysis,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHDEA4')])",Mercedes,HARVEY,CTO,mercedes@gmail.com,(333) 444-5555,USA,"Vice President, Digital Care",Banking,Contacted,2200000.0,200,Financial,Auditing and Assurance,2M - 4M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHEEA4')])",Mila,HAY,Data Analyst,mila@gmail.com,(444) 555-6666,USA,"Vice President, IS Risk Management",Biotechnology,Open,1800000.0,150,Financial,Financial Planning and Analysis,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHFEA4')])",Millie,HENDERSON,Marketing Director,millie@gmail.com,(777) 888-9999,USA,"Vice President, Business Continuity & Disaster Recovery",Chemicals,Qualified,950000.0,80,Financial,Auditing and Assurance,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHGEA4')])",Moira,HENDRY,Finance Manager,moira@gmail.com,(222) 333-4444,USA,"Executive VP, Chief Information Officer (Americas)",Communications,Unqualified,1700000.0,220,Financial,Financial Planning and Analysis,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHHEA4')])",Mania,HENRY,Production Manager,mania@gmail.com,(666) 777-8888,USA,"Director, End User Network & Wireless",Construction,Contacted,1200000.0,100,Financial,Auditing and Assurance,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHIEA4')])",sanil,HILL,Healthcare Manager,sanil@gmail.com,(555) 444-3333,USA,IT Coordinator,Consulting,Open,200000.0,50,Financial,Financial Planning and Analysis,0 - 500k,No,130,37,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHJEA4')])",tanie,HOGG,IT Manager,tanie@gmail.com,(555) 444-3333,USA,"Director, Information Systems",Education,Qualified,3000000.0,300,Financial,Auditing and Assurance,2M - 4M,No,210,70,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHKEA4')])",Nella,HOOD,Data Scientist,nella@gmail.com,(666) 777-8888,USA,"Senior Director, Technical Product Management & Global Supply Chain",Electronics,Unqualified,750000.0,65,Financial,Financial Planning and Analysis,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHLEA4')])",Nora,HOUSTON,Finance Director,nora@gmail.com,(333) 444-5555,USA,"Director, Telecom (North West Africa)",Energy,Contacted,900000.0,80,Healthcare,Healthcare Compliance and Regulations,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHMEA4')])",Nova,HOWIE,Marketing Manager,nova@gmail.com,(111) 222-3333,USA,HR System Coordinator,Engineering,Open,550000.0,45,Healthcare,Healthcare Data Management,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHNEA4')])",Octavia,HUGHES,Healthcare Director,octavia@gmail.com,(777) 888-9999,USA,Global Chief Architect & Head of Enterprise Architecture,Entertainment,Qualified,180000.0,30,Healthcare,Healthcare Compliance and Regulations,0 - 500k,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHOEA4')])",Olive,HUNTER,Sales Manager,olive@gmail.com,(222) 333-4444,USA,Head of IT Applied Infrastructure,Environmental,Unqualified,1600000.0,180,Healthcare,Healthcare Data Management,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHPEA4')])",Opal,HUTCHISON,Marketing Director,opal@gmail.com,(333) 444-5555,USA,"Vice President, GTS Network Engineering",Finance,Contacted,700000.0,50,Healthcare,Healthcare Compliance and Regulations,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHQEA4')])",Ophelia,HUTTON,Consultant,ophelia@gmail.com,(987) 654-3210,USA,Business System Coordinator,Food & Beverage,Open,750000.0,55,Healthcare,Healthcare Data Management,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHREA4')])",Paige,INGLIS,CEO,paige@gmail.com,(123) 456-7890,USA,"Assistant VP, Credit Infrastructure",Government,Qualified,220000.0,25,Healthcare,Healthcare Data Management,0 - 500k,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHSEA4')])",Parker,INNES,Healthcare Manager,parker@gmail.com,(888) 999-0000,USA,Local IT Coordinator,Healthcare,Unqualified,1400000.0,90,Healthcare,Healthcare Compliance and Regulations,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHTEA4')])",Pearl,IRVINE,CTO,pearl@gmail.com,(555) 555-5555,USA,"Head of IT, Digital Architecture",Hospitality,Contacted,850000.0,75,IT Services,IT Consulting and Strategy,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHUEA4')])",Olivia,JACK,Marketing Coordinator,olivia@gmail.com,(777) 777-7777,USA,Operations Elixir Head of Integration,Insurance,Open,650000.0,40,IT Services,IT Infrastructure Management,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHVEA4')])",Olivia,JACKSON,Financial Analyst,olivia@gmail.com,(888) 888-8888,USA,"Director, Global ERP",Machinery,Qualified,900000.0,80,IT Services,IT Consulting and Strategy,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHWEA4')])",Olivia,JAMIESON,Business Consultant,olivia@gmail.com,(333) 333-3333,IN,"Director, Business Performance & Analytics",Other,Qualified,700000.0,50,IT Services,IT Infrastructure Management,500k - 2M,No,220,75,Hot Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHXEA4')])",Penny,JOHNSTON,Marketing Manager,penny@gmail.com,(666) 666-6666,IN,Security Coordinator,Recreation,Unqualified,750000.0,55,IT Services,IT Consulting and Strategy,500k - 2M,No,190,62,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHYEA4')])",Petra,JOHNSTONE,Healthcare Director,petra@gmail.com,(999) 999-9999,IN,"Director, Operational Audit & Innovation",Retail,Contacted,220000.0,25,IT Services,IT Infrastructure Management,0 - 500k,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHZEA4')])",Phoebe,JONES,Data Analyst,phoebe@gmail.com,(777) 777-7777,IN,"Executive Director, Tax Technology",Shipping,Open,1400000.0,90,IT Services,IT Infrastructure Management,500k - 2M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHaEAO')])",Phoenix,KAY,CTO,phoenix@gmail.com,(555) 555-5555,IN,"Senior Director, Business Transformation",Technology,Qualified,850000.0,75,IT Services,IT Consulting and Strategy,500k - 2M,No,220,75,Hot Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEHbEAO')])",Piper,KELLY,Marketing Coordinator,piper@gmail.com,(777) 777-7777,IN,"Vice President, Enterprise Data Strategy",Telecommunications,Unqualified,650000.0,40,IT Services,IT Infrastructure Management,500k - 2M,No,190,62,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000004kvWcEAI')])",Sarah,Wilson,CEO,sarah.wilson@example.com,(789) 456-1230,IN,Global Solutions,Government,Open,4567883.0,45,Healthcare,Healthcare Data Management,4M - 6M,No,260,91,Hot Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000004kwcZEAQ')])",Jane,Doe,Marketing Director,jane.doe@example.com,(987) 654-3210,IN,XYZ Corporation,Healthcare,Open,4567886.0,90,Healthcare,Healthcare Data Management,4M - 6M,No,260,91,Hot Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000004kwjkEAA')])",David,Johnson,CEO,david.johnson@example.com,(555) 123-4567,IN,Acme Industries,Machinery,Open,4567889.0,78,Healthcare,Healthcare Data Management,4M - 6M,No,260,91,Hot Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000004l3ZWEAY')])",John,Smith,CEO,john.smith@johnson.com,(986) 857-4869,USA,Johnson & Johnson,Recreation,Open,4567894.0,78,Manufacturing,Supply Chain Management,4M - 6M,No,220,75,Hot Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000004lMu9EAE')])",John,Smith,CEO,john.smith@johnson.com,(986) 857-4869,USA,Johnson & Johnson,Media,Open,4567908.0,87,Marketing,Marketing Automation,4M - 6M,No,220,75,Hot Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000004ku50EAA')])",Jane,Doe,Marketing Director,jane.doe@example.com,(987) 654-3210,USA,XYZ Corporation,Biotechnology,Open,4567917.0,678,CRM,CRM Integration and Customization,4M - 6M,Yes,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000004kvW2EAI')])",John,Smith,Marketing Director,john.smith@example.com,(123) 456-7890,USA,ABC Company,Communications,Open,4567919.0,123,CRM,CRM Integration and Customization,4M - 6M,Yes,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000004kvWNEAY')])",John,Smith,Marketing Director,john.smith@example.com,(123) 456-7890,USA,ABC Company,Construction,Contacted,4567920.0,126,CRM,CRM Integration and Customization,4M - 6M,Yes,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFg6EAG')])",John,Smith,CEO,john.smith@email.com,(123) 456-7890,USA,Chief Marketing Officer,Apparel,Contacted,4567925.0,150,SAP,SAP Implementation and Consulting,4M - 6M,Yes,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFg7EAG')])",Jane,Doe,Marketing Manager,jane.doe@email.com,(987) 654-3210,USA,European Infrastructure &  Information Project Officer,Banking,Open,4567926.0,75,SAP,SAP Customization and Development,4M - 6M,Yes,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFg8EAG')])",Robert,Johnson,CFO,robert.johnson@email.com,(555) 123-4567,USA,Head of Systems Engineering,Biotechnology,Qualified,4567927.0,200,SAP,SAP Customization and Development,4M - 6M,Yes,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFg9EAG')])",Sarah,Williams,Sales Manager,sarah.williams@email.com,(111) 222-3333,USA,"Corporate Secretary & Vice President, Administration",Chemicals,Open,4567928.0,300,SAP,SAP Implementation and Consulting,4M - 6M,Yes,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFgAEAW')])",David,Lee,CTO,david.lee@email.com,(333) 444-5555,USA,"Coast Client Solutions Management, Samsung Ads Head (West)",Communications,Contacted,4567929.0,50,SAP,SAP Customization and Development,4M - 6M,Yes,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFgBEAW')])",Alice,Johnson,Data Analyst,alice.johnson@email.com,(444) 555-6666,USA,"Vice President, Smart Grid & Technology",Construction,Open,4567930.0,80,SAP,SAP Implementation and Consulting,4M - 6M,Yes,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFgCEAW')])",Lisa,Anderson,Marketing Director,lisa.anderson@email.com,(777) 888-9999,USA,"Associate Director, Systems Development",Consulting,Qualified,4567931.0,120,SAP,SAP Customization and Development,4M - 6M,Yes,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFgDEAW')])",Michael,Miller,Finance Manager,michael.miller@email.com,(222) 333-4444,USA,"Vice President, Information Security",Education,Unqualified,4567932.0,250,SAP,SAP Implementation and Consulting,4M - 6M,Yes,130,37,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFgEEAW')])",Emily,Davis,Production Manager,emily.davis@email.com,(666) 777-8888,USA,"Director, Global Solutions Architects (Sales)",Electronics,Contacted,4567933.0,200,SAP,SAP Customization and Development,4M - 6M,Yes,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFgFEAW')])",Jennifer,White,Healthcare Manager,jennifer.white@email.com,(555) 444-3333,USA,"Director, Program Management",Energy,Open,4567934.0,80,SAP,SAP Customization and Development,4M - 6M,Yes,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFgGEAW')])",James,Johnson,IT Manager,james.johnson@email.com,(555) 444-3333,USA,Chief Information Officer & interim Chief Information Security Officer,Engineering,Qualified,4567935.0,120,SAP,SAP Implementation and Consulting,4M - 6M,Yes,160,50,Warm Lead
